wavelength (nm)	, Reflectance
1356.000010, 0.044625 
1358.000010, 0.063255 
1360.000010, 0.083978 
1362.000010, 0.106287 
1364.000010, 0.129708 
1366.000010, 0.153812 
1368.000010, 0.178221 
1370.000010, 0.202615 
1372.000010, 0.226725 
1374.000010, 0.250335 
1376.000010, 0.273276 
1378.000010, 0.295419 
1380.000010, 0.316673 
1382.000010, 0.336974 
1384.000010, 0.356283 
1386.000010, 0.374581 
1388.000010, 0.391866 
1390.000010, 0.408146 
1392.000010, 0.423440 
1394.000010, 0.437772 
1396.000010, 0.451172 
1398.000010, 0.463671 
1400.000010, 0.475305 
1402.000010, 0.486108 
1404.000010, 0.496115 
1406.000010, 0.505361 
1408.000010, 0.513879 
1410.000010, 0.521701 
1412.000010, 0.528857 
1414.000010, 0.535377 
1416.000010, 0.541287 
1418.000010, 0.546614 
1420.000010, 0.551380 
1422.000010, 0.555607 
1424.000010, 0.559315 
1426.000010, 0.562523 
1428.000010, 0.565248 
1430.000010, 0.567503 
1432.000010, 0.569305 
1434.000010, 0.570663 
1436.000010, 0.571590 
1438.000010, 0.572094 
1440.000010, 0.572185 
1442.000010, 0.571869 
1444.000010, 0.571153 
1446.000010, 0.570041 
1448.000010, 0.568537 
1450.000010, 0.566646 
1452.000010, 0.564368 
1454.000010, 0.561705 
1456.000010, 0.558659 
1458.000010, 0.555228 
1460.000010, 0.551413 
1462.000010, 0.547211 
1464.000010, 0.542622 
1466.000010, 0.537642 
1468.000010, 0.532270 
1470.000010, 0.526501 
1472.000010, 0.520333 
1474.000010, 0.513763 
1476.000010, 0.506785 
1478.000010, 0.499398 
1480.000010, 0.491598 
1482.000010, 0.483380 
1484.000010, 0.474744 
1486.000010, 0.465685 
1488.000010, 0.456203 
1490.000010, 0.446297 
1492.000010, 0.435968 
1494.000010, 0.425216 
1496.000010, 0.414045 
1498.000010, 0.402460 
1500.000010, 0.390467 
1502.000010, 0.378076 
1504.000010, 0.365297 
1506.000010, 0.352146 
1508.000010, 0.338638 
1510.000010, 0.324796 
1512.000010, 0.310643 
1514.000010, 0.296207 
1516.000010, 0.281520 
1518.000010, 0.266620 
1520.000010, 0.251547 
1522.000010, 0.236346 
1524.000010, 0.221069 
1526.000010, 0.205769 
1528.000010, 0.190507 
1530.000010, 0.175346 
1532.000010, 0.160353 
1534.000010, 0.145600 
1536.000010, 0.131160 
1538.000010, 0.117109 
1540.000010, 0.103524 
1542.000010, 0.090484 
1544.000010, 0.078065 
1546.000010, 0.066344 
1548.000010, 0.055392 
1550.000010, 0.045278 
1552.000010, 0.036066 
1554.000010, 0.027813 
1556.000010, 0.020570 
1558.000010, 0.014377 
1560.000010, 0.009269 
1562.000010, 0.005269 
1564.000010, 0.002390 
1566.000010, 0.000637 
1568.000010, 0.000003 
1570.000010, 0.000473 
1572.000010, 0.002022 
1574.000010, 0.004617 
1576.000010, 0.008217 
1578.000010, 0.012773 
1580.000010, 0.018232 
1582.000010, 0.024535 
1584.000010, 0.031619 
1586.000010, 0.039420 
1588.000010, 0.047870 
1590.000010, 0.056902 
1592.000010, 0.066448 
1594.000010, 0.076441 
1596.000010, 0.086817 
1598.000010, 0.097513 
1600.000010, 0.108468 
1602.000010, 0.119625 
1604.000010, 0.130931 
1606.000010, 0.142335 
1608.000010, 0.153790 
1610.000010, 0.165254 
1612.000010, 0.176688 
1614.000010, 0.188055 
1616.000010, 0.199325 
1618.000010, 0.210468 
1620.000010, 0.221458 
1622.000010, 0.232275 
1624.000010, 0.242897 
1626.000010, 0.253308 
1628.000010, 0.263495 
1630.000010, 0.273444 
1632.000010, 0.283146 
1634.000010, 0.292592 
1636.000010, 0.301777 
1638.000010, 0.310695 
1640.000010, 0.319342 
1642.000010, 0.327717 
1644.000010, 0.335817 
1646.000010, 0.343643 
1648.000010, 0.351195 
1650.000010, 0.358473 
1652.000010, 0.365481 
1654.000010, 0.372219 
1656.000010, 0.378691 
1658.000010, 0.384900 
1660.000010, 0.390849 
1662.000010, 0.396541 
1664.000010, 0.401980 
1666.000010, 0.407171 
1668.000010, 0.412117 
1670.000010, 0.416823 
1672.000010, 0.421292 
1674.000010, 0.425528 
1676.000010, 0.429536 
1678.000010, 0.433319 
1680.000010, 0.436882 
1682.000010, 0.440229 
1684.000010, 0.443363 
1686.000010, 0.446288 
1688.000010, 0.449008 
1690.000010, 0.451525 
1692.000010, 0.453845 
1694.000010, 0.455970 
1696.000010, 0.457902 
1698.000010, 0.459646 
1700.000010, 0.461204 
1702.000010, 0.462578 
1704.000010, 0.463773 
1706.000010, 0.464789 
1708.000010, 0.465630 
1710.000010, 0.466297 
1712.000010, 0.466794 
1714.000010, 0.467121 
1716.000010, 0.467281 
1718.000010, 0.467276 
1720.000010, 0.467108 
1722.000010, 0.466778 
1724.000010, 0.466287 
1726.000010, 0.465637 
1728.000010, 0.464830 
1730.000010, 0.463866 
1732.000010, 0.462746 
1734.000010, 0.461473 
1736.000010, 0.460046 
1738.000010, 0.458467 
1740.000010, 0.456736 
1742.000010, 0.454855 
1744.000010, 0.452823 
1746.000010, 0.450643 
1748.000010, 0.448313 
1750.000010, 0.445836 
1752.000010, 0.443211 
1754.000010, 0.440439 
1756.000010, 0.437520 
1758.000010, 0.434456 
1760.000010, 0.431246 
1762.000010, 0.427891 
1764.000010, 0.424391 
1766.000010, 0.420748 
1768.000010, 0.416961 
1770.000010, 0.413032 
1772.000010, 0.408960 
1774.000010, 0.404747 
1776.000010, 0.400393 
1778.000010, 0.395899 
1780.000010, 0.391267 
1782.000010, 0.386496 
1784.000010, 0.381588 
1786.000010, 0.376545 
1788.000010, 0.371367 
1790.000010, 0.366057 
1792.000010, 0.360615 
1794.000010, 0.355043 
1796.000010, 0.349344 
1798.000010, 0.343520 
1800.000010, 0.337572 
1802.000010, 0.331504 
1804.000010, 0.325318 
1806.000010, 0.319017 
1808.000010, 0.312605 
1810.000010, 0.306084 
1812.000010, 0.299459 
1814.000010, 0.292734 
1816.000010, 0.285913 
1818.000010, 0.279001 
1820.000010, 0.272003 
1822.000010, 0.264924 
1824.000010, 0.257769 
1826.000010, 0.250545 
1828.000010, 0.243258 
1830.000010, 0.235915 
1832.000010, 0.228522 
1834.000010, 0.221088 
1836.000010, 0.213619 
1838.000010, 0.206124 
1840.000010, 0.198612 
1842.000010, 0.191091 
1844.000010, 0.183570 
1846.000010, 0.176058 
1848.000010, 0.168567 
1850.000010, 0.161104 
1852.000010, 0.153682 
1854.000010, 0.146310 
1856.000010, 0.139000 
1858.000010, 0.131762 
1860.000010, 0.124607 
1862.000010, 0.117547 
1864.000010, 0.110594 
1866.000010, 0.103758 
1868.000010, 0.097052 
1870.000010, 0.090486 
1872.000010, 0.084073 
1874.000010, 0.077823 
1876.000010, 0.071748 
1878.000010, 0.065859 
1880.000010, 0.060166 
1882.000010, 0.054680 
1884.000010, 0.049412 
1886.000010, 0.044370 
1888.000010, 0.039564 
1890.000010, 0.035003 
1892.000010, 0.030695 
1894.000010, 0.026648 
1896.000010, 0.022869 
1898.000010, 0.019364 
1900.000010, 0.016139 
1902.000010, 0.013199 
1904.000010, 0.010548 
1906.000010, 0.008190 
1908.000010, 0.006128 
1910.000010, 0.004364 
1912.000010, 0.002899 
1914.000010, 0.001733 
1916.000010, 0.000867 
1918.000010, 0.000299 
1920.000010, 0.000026 
1922.000010, 0.000048 
1924.000010, 0.000360 
1926.000010, 0.000959 
1928.000010, 0.001840 
1930.000010, 0.002997 
1932.000010, 0.004426 
1934.000010, 0.006118 
1936.000010, 0.008069 
1938.000010, 0.010269 
1940.000010, 0.012712 
1942.000010, 0.015389 
1944.000010, 0.018291 
1946.000010, 0.021410 
1948.000010, 0.024737 
1950.000010, 0.028263 
1952.000010, 0.031977 
1954.000010, 0.035870 
1956.000010, 0.039933 
1958.000010, 0.044156 
1960.000010, 0.048528 
1962.000010, 0.053042 
1964.000010, 0.057685 
1966.000010, 0.062450 
1968.000010, 0.067326 
1970.000010, 0.072305 
1972.000010, 0.077376 
1974.000010, 0.082532 
1976.000010, 0.087763 
1978.000010, 0.093060 
1980.000010, 0.098416 
1982.000010, 0.103822 
1984.000010, 0.109271 
1986.000010, 0.114754 
1988.000010, 0.120265 
1990.000010, 0.125797 
1992.000010, 0.131342 
1994.000010, 0.136895 
1996.000010, 0.142449 
1998.000010, 0.147998 
2000.000010, 0.153537 
